year,id_ent,nom_ent,id_mun,nom_mun,total_fosas,cuerpos_hombre,cuerpos_mujer,cuerpos_sin_info,total_cuerpos,restos_fragmentos_hombre,restos_fragmentos_mujer,restos_fragmentos_sin_info,total_restos_fragmentos,latitude,longitude
2009,14,Jalisco,98,San Pedro Tlaquepaque,1,1,0,0,1,0,0,0,0,20.6397718,-103.3120428
2011,14,Jalisco,39,Guadalajara,1,5,0,0,5,0,0,0,0,20.6720375,-103.338396
2011,14,Jalisco,98,San Pedro Tlaquepaque,1,1,0,0,1,0,0,0,0,20.6397718,-103.3120428
2011,14,Jalisco,120,Zapopan,1,1,0,0,1,0,0,0,0,20.7211203,-103.3913671
2013,14,Jalisco,3,Ahualulco de Mercado,2,6,0,0,6,0,0,0,0,20.7103538,-103.9753944
2013,14,Jalisco,101,Tonalá,1,1,0,0,1,0,0,0,0,20.6241367,-103.2421263
2013,14,Jalisco,120,Zapopan,4,20,0,0,20,0,0,0,0,20.7211203,-103.3913671
2014,14,Jalisco,98,San Pedro Tlaquepaque,5,9,1,0,10,0,0,0,0,20.6397718,-103.3120428
2015,14,Jalisco,67,Puerto Vallarta,1,0,0,0,0,2,0,0,2,20.6407176,-105.220306
2015,14,Jalisco,98,San Pedro Tlaquepaque,1,1,0,0,1,0,0,0,0,20.6397718,-103.3120428
2015,14,Jalisco,120,Zapopan,1,1,0,0,1,0,0,0,0,20.7211203,-103.3913671
2016,14,Jalisco,39,Guadalajara,1,1,0,0,1,0,0,0,0,20.6720375,-103.338396
2016,14,Jalisco,97,Tlajomulco de Zúñiga,2,3,0,0,3,0,0,0,0,20.4818737,-103.4005097
2016,14,Jalisco,120,Zapopan,1,0,0,0,0,0,1,0,1,20.7211203,-103.3913671
2017,14,Jalisco,97,Tlajomulco de Zúñiga,4,7,0,0,7,0,0,3,3,20.4818737,-103.4005097
2017,14,Jalisco,98,San Pedro Tlaquepaque,1,3,0,0,3,0,0,0,0,20.6397718,-103.3120428
2017,14,Jalisco,120,Zapopan,3,1,1,0,2,0,0,7,7,20.7211203,-103.3913671
2018,14,Jalisco,15,Autlán de Navarro,1,0,0,0,0,1,0,0,1,19.75703,-104.3183402
2018,14,Jalisco,39,Guadalajara,1,9,1,0,10,0,0,0,0,20.6720375,-103.338396
2018,14,Jalisco,97,Tlajomulco de Zúñiga,16,30,2,0,32,0,0,1,1,20.4818737,-103.4005097
2018,14,Jalisco,98,San Pedro Tlaquepaque,2,7,0,0,7,0,0,0,0,20.6397718,-103.3120428
2018,14,Jalisco,101,Tonalá,4,15,3,0,18,0,0,1,1,20.6241367,-103.2421263
2019,14,Jalisco,39,Guadalajara,2,0,1,0,1,1,1,0,2,20.6720375,-103.338396
2019,14,Jalisco,97,Tlajomulco de Zúñiga,14,19,6,12,37,0,0,2,2,20.4818737,-103.4005097
2019,14,Jalisco,98,San Pedro Tlaquepaque,2,6,0,0,6,0,0,0,0,20.6397718,-103.3120428
2019,14,Jalisco,100,Tomatlán,3,1,0,0,1,3,0,1,4,19.9375711,-105.1509531
2019,14,Jalisco,101,Tonalá,15,15,4,1,20,0,0,0,0,20.6241367,-103.2421263
